Text,Label
"Secondary structure elements of many protein families exhibit differential conservation on their opposing faces. Amphipathic helices and beta-sheets by definition possess this property, and play crucial functional roles. This type of evolutionary trajectory of a protein family is usually critical to the functions of the protein family, as well as in creating functions within subfamilies. That is, differential conservation maintains properties of a protein structure related to its orientation, and that are important in packing, recognition, and catalysis. Here I define and formulate a new concept, called the selection moment, that detects this evolutionary process in protein sequences. A treatment of its various applications is detailed.",Human
"A dynamical mean-field theory is developed to analyze stochastic single-cell dynamics of gene expression. By explicitly taking account of nonequilibrium and nonadiabatic features of the DNA state fluctuation, two-time correlation functions and response functions of single-cell dynamics are derived. The method is applied to a self-regulating gene to predict a rich variety of dynamical phenomena such as anomalous increase of relaxation time and oscillatory decay of correlations. Effective ""temperature"" defined as the ratio of the correlation to the response in the protein number is small when the DNA state change is frequent, while it grows large when the DNA state change is infrequent, indicating the strong enhancement of noise in the latter case.",Human
This article reports about a novel extension of dissipative particle dynamics (DPD) that allows the study of the collective dynamics of complex chemical and structural systems in a spatially resolved manner with a combinatorially complex variety of different system constituents. We show that introducing multipolar interactions between particles leads to extended membrane structures emerging in a self-organized manner and exhibiting both the necessary mechanical stability for transport and fluidity so as to provide a two-dimensional self-organizing dynamic reaction environment for kinetic studies in the context of cell biology. We further show that the emergent dynamics of extended membrane bound objects is in accordance with scaling laws imposed by physics.,Human
"Both short interfering RNAs (siRNAs) and microRNAs (miRNAs) mediate the repression of specific sequences of mRNA through the RNA interference pathway. In the last years several experiments have supported the hypothesis that siRNAs and miRNAs may be functionally interchangeable, at least in cultured cells. In this work we verify that this hypothesis is also supported by a computational evidence. We show that a method specifically trained to predict the activity of the exogenous siRNAs assigns a high silencing level to experimentally determined human miRNAs. This result not only supports the idea of siRNAs and miRNAs equivalence but indicates that it is possible to use computational tools developed using synthetic small interference RNAs to investigate endogenous miRNAs.",Human
"A mathematical model of infiltrative tumour growth taking into account cell proliferation, death and motility is considered. The model is formulated in terms of local cell density and nutrient (oxygen) concentration. In the model the rate of cell death depends on the local nutrient level. Thus heterogeneous nutrient distribution in tissue affects tumour structure and development. The existence of automodel solutions is demonstrated and their properties are investigated. The results are compared to the properties of the Kolmogorov-Petrovskii-Piskunov and Fisher equations. Influence of the nutrient distribution on the autowave speed selection as well as on the relaxation to automodel solution is demonstrated. The model adequately describes the data, observed in experiments.",Human
"We investigate the mechanisms of histone sliding and detachment with a stochastic model that couples thermally-induced, passive histone sliding with active motor-driven histone unwrapping. Analysis of a passive loop or twist defect-mediated histone sliding mechanism shows that diffusional sliding is enhanced as larger portions of the DNA is peeled off the histone. The mean times to histone detachment and the mean distance traveled by the motor complex prior to histone detachment are computed as functions of the intrinsic speed of the motor. Fast motors preferentially induce detachment over sliding. However, for a fixed motor speed, increasing the histone-DNA affinity (and thereby decreasing the passive sliding rate) increases the mean distance traveled by the motor.",Human
"We study general aspects of active motion with fluctuations in the speed and the direction of motion in two dimensions. We consider the case in which fluctuations in the speed are not correlated to fluctuations in the direction of motion, and assume that both processes can be described by independent characteristic time-scales. We show the occurrence of a complex transient that can exhibit a series of alternating regimes of motion, for two different angular dynamics which correspond to persistent and directed random walks. We also show additive corrections to the diffusion coefficient. The characteristic time-scales are also exposed in the velocity autocorrelation, which is a sum of exponential forms.",Human
"Lieberman and Melott built their recent arXiv preprint 0704.2896 on my published paper and (a preprint of) a subsequent comment by Liebermans associate Cornette. But had this group waited for the Cornette comment to actually appear in print together with the expected Reply, they would have learned that his comment exposes Cornettes confusion that likely was due to journal misprint of my figure. Thus 0704.2896 is baseless. Despite receiving the extended Reply with Errata, these authors still fail to recognize that detrending of paleontological records-which they erroneously promote as a must-is an arbitrary rather than a universal operation.",Human
"We propose a new simple model for DNA denaturation bases on the pendulum model of Englander\cite{A1} and the microscopic model of Peyrard {\it et al.},\cite{A3} so called ""combined model"". The main parameters of our model are: the coupling constant $k$ along each strand, the mean stretching $y^\ast$ of the hydrogen bonds, the ratio of the damping constant and driven force $\gamma/F$. We show that both the length $L$ of unpaired bases and the velocity $v$ of kinks depend on not only the coupling constant $k$ but also the temperature $T$. Our results are in good agreement with previous works.",Human
"We study the length distribution of a particular class of DNA sequences known as 5'UTR exons. These exons belong to the messanger RNA of protein coding genes, but they are not coding (they are located upstream of the coding portion of the mRNA) and are thus less constrained from an evolutionary point of view. We show that both in mouse and in human these exons show a very clean power law decay in their length distribution and suggest a simple evolutionary model which may explain this finding. We conjecture that this power law behaviour could indeed be a general feature of higher eukaryotes.",Human
"Purcell's scallop theorem defines the type of motions of a solid body - reciprocal motions - which cannot propel the body in a viscous fluid with zero Reynolds number. For example, the flapping of a wing is reciprocal and, as was recently shown, can lead to directed motion only if its frequency Reynolds number, Re_f, is above a critical value of order one. Using elementary examples, we show the existence of oscillatory reciprocal motions which are effective for all arbitrarily small values of the frequency Reynolds number and induce net velocities scaling as (Re_f)^\alpha (alpha > 0). This demonstrates a continuous breakdown of the scallop theorem with inertia.",Human
"We solve the Unanimity Rule on networks with exponential, uniform and scalefree degree distributions. In particular we arrive at equations relating the asymptotic number of nodes in one of two states to the initial fraction of nodes in this state. The solutions for exponential and uniform networks are exact, the approximation for the scalefree case is in perfect agreement with simulation results. We use these solutions to provide a theoretical understanding for experimental data on biodiversity loss in foodwebs, which is available for the three network types discussed. The model allows in principle to estimate the critical value of species that have to be removed from the system to induce its complete collapse.",Human
